r,t,y,TotalCapacityAnnual
"Greece","GRMWIP00",2037,17.95
"Greece","GRMWIP00",2038,18.5451793678903
"Greece","GRMWIP00",2039,18.5451793678903
"Greece","GRMWIP00",2040,18.5451793678903
"Greece","GRMWIP00",2041,18.5451793678903
"Greece","GRMWIP00",2042,18.5451793678903
"Greece","GRMWIP00",2043,18.5451793678903
"Greece","GRMWIP00",2044,18.5451793678903
"Greece","GRMWIP00",2045,18.5451793678903
"Greece","GRMWIP00",2046,18.5451793678903
"Greece","GRMWIP00",2047,18.5451793678903
"Greece","GRMWIP00",2048,18.5451793678903
"Greece","GRMWIP00",2049,15.4351793678903
"Greece","GRMWIP00",2050,15.4251793678903
"Greece","GRMWIP01",2019,0
"Greece","GRMWIP01",2020,0
"Greece","GRMWIP01",2021,0
"Greece","GRMWIP01",2022,0
"Greece","GRMWIP01",2023,0
"Greece","GRMWIP01",2024,0
"Greece","GRMWIP01",2025,0
"Greece","GRMWIP01",2026,0
"Greece","GRMWIP01",2027,0
"Greece","GRMWIP01",2028,0
"Greece","GRMWIP01",2029,0
"Greece","GRMWIP01",2030,0.35
"Greece","GRMWIP01",2031,0.499999999999999
"Greece","GRMWIP01",2032,0.749999999999999
"Greece","GRMWIP01",2033,0.999999999999999
"Greece","GRMWIP01",2034,1.25
"Greece","GRMWIP01",2035,1.5
"Greece","GRMWIP01",2036,1.75
"Greece","GRMWIP01",2037,2
"Greece","GRMWIP01",2038,2.25
"Greece","GRMWIP01",2039,2.5
"Greece","GRMWIP01",2040,2.75
"Greece","GRMWIP01",2041,3
"Greece","GRMWIP01",2042,3
"Greece","GRMWIP01",2043,3
"Greece","GRMWIP01",2044,3
"Greece","GRMWIP01",2045,3
"Greece","GRMWIP01",2046,3
"Greece","GRMWIP01",2047,3
"Greece","GRMWIP01",2048,3
"Greece","GRMWIP01",2049,3
"Greece","GRMWIP01",2050,3
"Greece","GRNG00I00",2019,99.4659871267899
"Greece","GRNG00I00",2020,101.133753440202
"Greece","GRNG00I00",2021,101.133753440202
"Greece","GRNG00I00",2022,101.133753440202
"Greece","GRNG00I00",2023,101.133753440202
"Greece","GRNG00I00",2024,101.133753440202
"Greece","GRNG00I00",2025,101.133753440202
"Greece","GRNG00I00",2026,101.133753440202
"Greece","GRNG00I00",2027,101.133753440202
"Greece","GRNG00I00",2028,101.133753440202
"Greece","GRNG00I00",2029,101.133753440202
"Greece","GRNG00I00",2030,101.133753440202
"Greece","GRNG00I00",2031,101.133753440202
"Greece","GRNG00I00",2032,101.133753440202
"Greece","GRNG00I00",2033,101.133753440202
"Greece","GRNG00I00",2034,101.133753440202
"Greece","GRNG00I00",2035,101.133753440202
"Greece","GRNG00I00",2036,101.133753440202
"Greece","GRNG00I00",2037,101.133753440202
"Greece","GRNG00I00",2038,101.133753440202
"Greece","GRNG00I00",2039,101.133753440202
"Greece","GRNG00I00",2040,101.133753440202
"Greece","GRNG00I00",2041,101.133753440202
"Greece","GRNG00I00",2042,101.133753440202
"Greece","GRNG00I00",2043,101.133753440202
"Greece","GRNG00I00",2044,101.133753440202
"Greece","GRNG00I00",2045,101.133753440202
"Greece","GRNG00I00",2046,101.133753440202
"Greece","GRNG00I00",2047,101.133753440202
"Greece","GRNG00I00",2048,101.133753440202
"Greece","GRNG00I00",2049,101.133753440202
"Greece","GRNG00I00",2050,101.133753440202
"Greece","NGCHPPWR",2019,0.234
"Greece","NGCHPPWR",2020,0.236
"Greece","NGCHPPWR",2021,0.238
"Greece","NGCHPPWR",2022,0.238
"Greece","NGCHPPWR",2023,0.238
"Greece","NGCHPPWR",2024,0.238
"Greece","NGCHPPWR",2025,0.238
"Greece","NGCHPPWR",2026,0.238
"Greece","NGCHPPWR",2027,0.238
"Greece","NGCHPPWR",2028,0.238
"Greece","NGCHPPWR",2029,0.238
"Greece","NGCHPPWR",2030,0.238
"Greece","NGCHPPWR",2031,0.238
"Greece","NGCHPPWR",2032,0.238
"Greece","NGCHPPWR",2033,0.238
"Greece","NGCHPPWR",2034,0.238
"Greece","NGCHPPWR",2035,0.238
"Greece","NGCHPPWR",2036,0.238
"Greece","NGCHPPWR",2037,0.238
"Greece","NGCHPPWR",2038,0.238
"Greece","NGCHPPWR",2039,0.238
"Greece","NGCHPPWR",2040,0.238
"Greece","NGCHPPWR",2041,0.238
"Greece","NGCHPPWR",2042,0.238
"Greece","NGCHPPWR",2043,0.238
"Greece","NGCHPPWR",2044,0.238
"Greece","NGCHPPWR",2045,0.238
"Greece","NGCHPPWR",2046,0.238
"Greece","NGCHPPWR",2047,0.238
"Greece","NGCHPPWR",2048,0.238
"Greece","NGCHPPWR",2049,0.238
"Greece","NGCHPPWR",2050,0.238
"Greece","NGSPROD",2019,0.505050505050505
"Greece","NGSPROD",2020,0.505050505050505
"Greece","NGSPROD",2021,0.505050505050505
"Greece","NGSPROD",2022,0.505050505050505
"Greece","NGSPROD",2023,0.505050505050505
"Greece","NGSPROD",2024,0.505050505050505
"Greece","NGSPROD",2025,0.505050505050505
"Greece","NGSPROD",2026,0.555555555555555
"Greece","NGSPROD",2027,0.555555555555555
"Greece","NGSPROD",2028,0.555555555555555
"Greece","NGSPROD",2029,0.555555555555555
"Greece","NGSPROD",2030,0.810810810810811
"Greece","NGSPROD",2031,0.810810810810811
"Greece","NGSPROD",2032,0.810810810810811
"Greece","NGSPROD",2033,0.833333333333333
"Greece","NGSPROD",2034,0.857142857142857
"Greece","NGSPROD",2035,0.857142857142857
"Greece","NGSPROD",2036,0.857142857142857
"Greece","NGSPROD",2037,0.857142857142857
"Greece","NGSPROD",2038,0.857142857142857
"Greece","NGSPROD",2039,0.857142857142857
"Greece","NGSPROD",2040,0.857142857142857
"Greece","NGSPROD",2041,0.857142857142857
"Greece","NGSPROD",2042,0.857142857142857
"Greece","NGSPROD",2043,0.857142857142857
"Greece","NGSPROD",2044,0.857142857142857
"Greece","NGSPROD",2045,0.857142857142857
"Greece","NGSPROD",2046,0.857142857142857
"Greece","NGSPROD",2047,0.857142857142857
"Greece","NGSPROD",2048,0.857142857142857
"Greece","NGSPROD",2049,0.857142857142857
"Greece","NGSPROD",2050,0.857142857142857
"Greece","OILPROD",2019,7.17171717171717
"Greece","OILPROD",2020,7.17171717171717
"Greece","OILPROD",2021,7.17171717171717
"Greece","OILPROD",2022,7.17171717171717
"Greece","OILPROD",2023,7.17171717171717
"Greece","OILPROD",2024,7.17171717171717
"Greece","OILPROD",2025,7.17171717171717
"Greece","OILPROD",2026,7.17171717171717
"Greece","OILPROD",2027,7.17171717171717
"Greece","OILPROD",2028,7.17171717171717
"Greece","OILPROD",2029,7.17171717171717
"Greece","OILPROD",2030,7.17171717171717
"Greece","OILPROD",2031,7.17171717171717
"Greece","OILPROD",2032,7.17171717171717
"Greece","OILPROD",2033,7.17171717171717
"Greece","OILPROD",2034,7.17171717171717
"Greece","OILPROD",2035,7.17171717171717
"Greece","OILPROD",2036,7.17171717171717
"Greece","OILPROD",2037,7.17171717171717
"Greece","OILPROD",2038,7.17171717171717
"Greece","OILPROD",2039,7.17171717171717
"Greece","OILPROD",2040,7.17171717171717
"Greece","OILPROD",2041,7.17171717171717
"Greece","OILPROD",2042,7.17171717171717
"Greece","OILPROD",2043,7.17171717171717
"Greece","OILPROD",2044,7.17171717171717
"Greece","OILPROD",2045,7.17171717171717
"Greece","OILPROD",2046,7.17171717171717
"Greece","OILPROD",2047,7.17171717171717
"Greece","OILPROD",2048,7.17171717171717
"Greece","OILPROD",2049,7.17171717171717
"Greece","OILPROD",2050,7.17171717171717
"Greece","PUMP",2019,0
"Greece","PUMP",2020,0
"Greece","PUMP",2021,0
"Greece","PUMP",2022,0
"Greece","PUMP",2023,0
"Greece","PUMP",2024,0
"Greece","PUMP",2025,0
"Greece","PUMP",2026,0
"Greece","PUMP",2027,0
"Greece","PUMP",2028,0
"Greece","PUMP",2029,0
"Greece","PUMP",2030,0
"Greece","PUMP",2031,0
"Greece","PUMP",2032,0
"Greece","PUMP",2033,0
"Greece","PUMP",2034,0
"Greece","PUMP",2035,0
"Greece","PUMP",2036,0
"Greece","PUMP",2037,0
"Greece","PUMP",2038,0
"Greece","PUMP",2039,0
"Greece","PUMP",2040,0
"Greece","PUMP",2041,0
"Greece","PUMP",2042,0
"Greece","PUMP",2043,0
"Greece","PUMP",2044,0
"Greece","PUMP",2045,0
"Greece","PUMP",2046,0
"Greece","PUMP",2047,0
"Greece","PUMP",2048,0
"Greece","PUMP",2049,0
"Greece","PUMP",2050,0
"Greece","PWRHYDR",2019,0
"Greece","PWRHYDR",2020,0
"Greece","PWRHYDR",2021,0
"Greece","PWRHYDR",2022,0
"Greece","PWRHYDR",2023,0
"Greece","PWRHYDR",2024,0
"Greece","PWRHYDR",2025,0
"Greece","PWRHYDR",2026,0
"Greece","PWRHYDR",2027,0
"Greece","PWRHYDR",2028,0
"Greece","PWRHYDR",2029,0
"Greece","PWRHYDR",2030,0
"Greece","PWRHYDR",2031,0
"Greece","PWRHYDR",2032,0
"Greece","PWRHYDR",2033,0
"Greece","PWRHYDR",2034,0
"Greece","PWRHYDR",2035,0
"Greece","PWRHYDR",2036,0
"Greece","PWRHYDR",2037,0
"Greece","PWRHYDR",2038,0
"Greece","PWRHYDR",2039,0
"Greece","PWRHYDR",2040,0
"Greece","PWRHYDR",2041,0
"Greece","PWRHYDR",2042,0
"Greece","PWRHYDR",2043,0
"Greece","PWRHYDR",2044,0
"Greece","PWRHYDR",2045,0
"Greece","PWRHYDR",2046,0
"Greece","PWRHYDR",2047,0
"Greece","PWRHYDR",2048,0
"Greece","PWRHYDR",2049,0
"Greece","PWRHYDR",2050,0
