r,l,f,y,Demand
"Greece","S01D1B1","ELRE",2035,0
"Greece","S01D1B1","ELRE",2036,0
"Greece","S01D1B1","ELRE",2037,0
"Greece","S01D1B1","ELRE",2038,0
"Greece","S01D1B1","ELRE",2039,0
"Greece","S01D1B1","ELRE",2040,0
"Greece","S01D1B1","ELRE",2041,0
"Greece","S01D1B1","ELRE",2042,0
"Greece","S01D1B1","ELRE",2043,0
"Greece","S01D1B1","ELRE",2044,0
"Greece","S01D1B1","ELRE",2045,0
"Greece","S01D1B1","ELRE",2046,0
"Greece","S01D1B1","ELRE",2047,0
"Greece","S01D1B1","ELRE",2048,0
"Greece","S01D1B1","ELRE",2049,0
"Greece","S01D1B1","ELRE",2050,0
"Greece","S01D1B1","ELTRDIS",2019,0
"Greece","S01D1B1","ELTRDIS",2020,0
"Greece","S01D1B1","ELTRDIS",2021,0
"Greece","S01D1B1","ELTRDIS",2022,0
"Greece","S01D1B1","ELTRDIS",2023,0
"Greece","S01D1B1","ELTRDIS",2024,0
"Greece","S01D1B1","ELTRDIS",2025,0
"Greece","S01D1B1","ELTRDIS",2026,0
"Greece","S01D1B1","ELTRDIS",2027,0
"Greece","S01D1B1","ELTRDIS",2028,0
"Greece","S01D1B1","ELTRDIS",2029,0
"Greece","S01D1B1","ELTRDIS",2030,0
"Greece","S01D1B1","ELTRDIS",2031,0
"Greece","S01D1B1","ELTRDIS",2032,0
"Greece","S01D1B1","ELTRDIS",2033,0
"Greece","S01D1B1","ELTRDIS",2034,0
"Greece","S01D1B1","ELTRDIS",2035,0
"Greece","S01D1B1","ELTRDIS",2036,0
"Greece","S01D1B1","ELTRDIS",2037,0
"Greece","S01D1B1","ELTRDIS",2038,0
"Greece","S01D1B1","ELTRDIS",2039,0
"Greece","S01D1B1","ELTRDIS",2040,0
"Greece","S01D1B1","ELTRDIS",2041,0
"Greece","S01D1B1","ELTRDIS",2042,0
"Greece","S01D1B1","ELTRDIS",2043,0
"Greece","S01D1B1","ELTRDIS",2044,0
"Greece","S01D1B1","ELTRDIS",2045,0
"Greece","S01D1B1","ELTRDIS",2046,0
"Greece","S01D1B1","ELTRDIS",2047,0
"Greece","S01D1B1","ELTRDIS",2048,0
"Greece","S01D1B1","ELTRDIS",2049,0
"Greece","S01D1B1","ELTRDIS",2050,0
"Greece","S01D1B1","GRBIOMASS",2019,0
"Greece","S01D1B1","GRBIOMASS",2020,0
"Greece","S01D1B1","GRBIOMASS",2021,0
"Greece","S01D1B1","GRBIOMASS",2022,0
"Greece","S01D1B1","GRBIOMASS",2023,0
"Greece","S01D1B1","GRBIOMASS",2024,0
"Greece","S01D1B1","GRBIOMASS",2025,0
"Greece","S01D1B1","GRBIOMASS",2026,0
"Greece","S01D1B1","GRBIOMASS",2027,0
"Greece","S01D1B1","GRBIOMASS",2028,0
"Greece","S01D1B1","GRBIOMASS",2029,0
"Greece","S01D1B1","GRBIOMASS",2030,0
"Greece","S01D1B1","GRBIOMASS",2031,0
"Greece","S01D1B1","GRBIOMASS",2032,0
"Greece","S01D1B1","GRBIOMASS",2033,0
"Greece","S01D1B1","GRBIOMASS",2034,0
"Greece","S01D1B1","GRBIOMASS",2035,0
"Greece","S01D1B1","GRBIOMASS",2036,0
"Greece","S01D1B1","GRBIOMASS",2037,0
"Greece","S01D1B1","GRBIOMASS",2038,0
"Greece","S01D1B1","GRBIOMASS",2039,0
"Greece","S01D1B1","GRBIOMASS",2040,0
"Greece","S01D1B1","GRBIOMASS",2041,0
"Greece","S01D1B1","GRBIOMASS",2042,0
"Greece","S01D1B1","GRBIOMASS",2043,0
"Greece","S01D1B1","GRBIOMASS",2044,0
"Greece","S01D1B1","GRBIOMASS",2045,0
"Greece","S01D1B1","GRBIOMASS",2046,0
"Greece","S01D1B1","GRBIOMASS",2047,0
"Greece","S01D1B1","GRBIOMASS",2048,0
"Greece","S01D1B1","GRBIOMASS",2049,0
"Greece","S01D1B1","GRBIOMASS",2050,0
"Greece","S01D1B1","GRCOAL",2019,0
"Greece","S01D1B1","GRCOAL",2020,0
"Greece","S01D1B1","GRCOAL",2021,0
"Greece","S01D1B1","GRCOAL",2022,0
"Greece","S01D1B1","GRCOAL",2023,0
"Greece","S01D1B1","GRCOAL",2024,0
"Greece","S01D1B1","GRCOAL",2025,0
"Greece","S01D1B1","GRCOAL",2026,0
"Greece","S01D1B1","GRCOAL",2027,0
"Greece","S01D1B1","GRCOAL",2028,0
"Greece","S01D1B1","GRCOAL",2029,0
"Greece","S01D1B1","GRCOAL",2030,0
"Greece","S01D1B1","GRCOAL",2031,0
"Greece","S01D1B1","GRCOAL",2032,0
"Greece","S01D1B1","GRCOAL",2033,0
"Greece","S01D1B1","GRCOAL",2034,0
"Greece","S01D1B1","GRCOAL",2035,0
"Greece","S01D1B1","GRCOAL",2036,0
"Greece","S01D1B1","GRCOAL",2037,0
"Greece","S01D1B1","GRCOAL",2038,0
"Greece","S01D1B1","GRCOAL",2039,0
"Greece","S01D1B1","GRCOAL",2040,0
"Greece","S01D1B1","GRCOAL",2041,0
"Greece","S01D1B1","GRCOAL",2042,0
"Greece","S01D1B1","GRCOAL",2043,0
"Greece","S01D1B1","GRCOAL",2044,0
"Greece","S01D1B1","GRCOAL",2045,0
"Greece","S01D1B1","GRCOAL",2046,0
"Greece","S01D1B1","GRCOAL",2047,0
"Greece","S01D1B1","GRCOAL",2048,0
"Greece","S01D1B1","GRCOAL",2049,0
"Greece","S01D1B1","GRCOAL",2050,0
"Greece","S01D1B1","GRDIESEL",2019,0
"Greece","S01D1B1","GRDIESEL",2020,0
"Greece","S01D1B1","GRDIESEL",2021,0
"Greece","S01D1B1","GRDIESEL",2022,0
"Greece","S01D1B1","GRDIESEL",2023,0
"Greece","S01D1B1","GRDIESEL",2024,0
"Greece","S01D1B1","GRDIESEL",2025,0
"Greece","S01D1B1","GRDIESEL",2026,0
"Greece","S01D1B1","GRDIESEL",2027,0
"Greece","S01D1B1","GRDIESEL",2028,0
"Greece","S01D1B1","GRDIESEL",2029,0
"Greece","S01D1B1","GRDIESEL",2030,0
"Greece","S01D1B1","GRDIESEL",2031,0
"Greece","S01D1B1","GRDIESEL",2032,0
"Greece","S01D1B1","GRDIESEL",2033,0
"Greece","S01D1B1","GRDIESEL",2034,0
"Greece","S01D1B1","GRDIESEL",2035,0
"Greece","S01D1B1","GRDIESEL",2036,0
"Greece","S01D1B1","GRDIESEL",2037,0
"Greece","S01D1B1","GRDIESEL",2038,0
"Greece","S01D1B1","GRDIESEL",2039,0
"Greece","S01D1B1","GRDIESEL",2040,0
"Greece","S01D1B1","GRDIESEL",2041,0
"Greece","S01D1B1","GRDIESEL",2042,0
"Greece","S01D1B1","GRDIESEL",2043,0
"Greece","S01D1B1","GRDIESEL",2044,0
"Greece","S01D1B1","GRDIESEL",2045,0
"Greece","S01D1B1","GRDIESEL",2046,0
"Greece","S01D1B1","GRDIESEL",2047,0
"Greece","S01D1B1","GRDIESEL",2048,0
"Greece","S01D1B1","GRDIESEL",2049,0
"Greece","S01D1B1","GRDIESEL",2050,0
"Greece","S01D1B1","GRGAS",2019,0
"Greece","S01D1B1","GRGAS",2020,0
"Greece","S01D1B1","GRGAS",2021,0
"Greece","S01D1B1","GRGAS",2022,0
"Greece","S01D1B1","GRGAS",2023,0
"Greece","S01D1B1","GRGAS",2024,0
"Greece","S01D1B1","GRGAS",2025,0
"Greece","S01D1B1","GRGAS",2026,0
"Greece","S01D1B1","GRGAS",2027,0
"Greece","S01D1B1","GRGAS",2028,0
"Greece","S01D1B1","GRGAS",2029,0
"Greece","S01D1B1","GRGAS",2030,0
"Greece","S01D1B1","GRGAS",2031,0
"Greece","S01D1B1","GRGAS",2032,0
"Greece","S01D1B1","GRGAS",2033,0
"Greece","S01D1B1","GRGAS",2034,0
"Greece","S01D1B1","GRGAS",2035,0
"Greece","S01D1B1","GRGAS",2036,0
"Greece","S01D1B1","GRGAS",2037,0
"Greece","S01D1B1","GRGAS",2038,0
"Greece","S01D1B1","GRGAS",2039,0
"Greece","S01D1B1","GRGAS",2040,0
"Greece","S01D1B1","GRGAS",2041,0
"Greece","S01D1B1","GRGAS",2042,0
"Greece","S01D1B1","GRGAS",2043,0
"Greece","S01D1B1","GRGAS",2044,0
"Greece","S01D1B1","GRGAS",2045,0
"Greece","S01D1B1","GRGAS",2046,0
"Greece","S01D1B1","GRGAS",2047,0
"Greece","S01D1B1","GRGAS",2048,0
"Greece","S01D1B1","GRGAS",2049,0
"Greece","S01D1B1","GRGAS",2050,0
"Greece","S01D1B1","GROIL",2019,0
"Greece","S01D1B1","GROIL",2020,0
"Greece","S01D1B1","GROIL",2021,0
"Greece","S01D1B1","GROIL",2022,0
"Greece","S01D1B1","GROIL",2023,0
"Greece","S01D1B1","GROIL",2024,0
"Greece","S01D1B1","GROIL",2025,0
"Greece","S01D1B1","GROIL",2026,0
"Greece","S01D1B1","GROIL",2027,0
"Greece","S01D1B1","GROIL",2028,0
"Greece","S01D1B1","GROIL",2029,0
"Greece","S01D1B1","GROIL",2030,0
"Greece","S01D1B1","GROIL",2031,0
"Greece","S01D1B1","GROIL",2032,0
"Greece","S01D1B1","GROIL",2033,0
"Greece","S01D1B1","GROIL",2034,0
"Greece","S01D1B1","GROIL",2035,0
"Greece","S01D1B1","GROIL",2036,0
"Greece","S01D1B1","GROIL",2037,0
"Greece","S01D1B1","GROIL",2038,0
"Greece","S01D1B1","GROIL",2039,0
"Greece","S01D1B1","GROIL",2040,0
"Greece","S01D1B1","GROIL",2041,0
"Greece","S01D1B1","GROIL",2042,0
"Greece","S01D1B1","GROIL",2043,0
"Greece","S01D1B1","GROIL",2044,0
"Greece","S01D1B1","GROIL",2045,0
"Greece","S01D1B1","GROIL",2046,0
"Greece","S01D1B1","GROIL",2047,0
"Greece","S01D1B1","GROIL",2048,0
"Greece","S01D1B1","GROIL",2049,0
"Greece","S01D1B1","GROIL",2050,0
"Greece","S01D1B3","ALEL",2019,0
"Greece","S01D1B3","ALEL",2020,0
"Greece","S01D1B3","ALEL",2021,0
"Greece","S01D1B3","ALEL",2022,0
"Greece","S01D1B3","ALEL",2023,0
"Greece","S01D1B3","ALEL",2024,0
"Greece","S01D1B3","ALEL",2025,0
"Greece","S01D1B3","ALEL",2026,0
"Greece","S01D1B3","ALEL",2027,0
"Greece","S01D1B3","ALEL",2028,0
"Greece","S01D1B3","ALEL",2029,0
"Greece","S01D1B3","ALEL",2030,0
"Greece","S01D1B3","ALEL",2031,0
"Greece","S01D1B3","ALEL",2032,0
"Greece","S01D1B3","ALEL",2033,0
"Greece","S01D1B3","ALEL",2034,0
"Greece","S01D1B3","ALEL",2035,0
"Greece","S01D1B3","ALEL",2036,0
"Greece","S01D1B3","ALEL",2037,0
"Greece","S01D1B3","ALEL",2038,0
"Greece","S01D1B3","ALEL",2039,0
"Greece","S01D1B3","ALEL",2040,0
"Greece","S01D1B3","ALEL",2041,0
"Greece","S01D1B3","ALEL",2042,0
"Greece","S01D1B3","ALEL",2043,0
"Greece","S01D1B3","ALEL",2044,0
"Greece","S01D1B3","ALEL",2045,0
"Greece","S01D1B3","ALEL",2046,0
"Greece","S01D1B3","ALEL",2047,0
"Greece","S01D1B3","ALEL",2048,0
"Greece","S01D1B3","ALEL",2049,0
"Greece","S01D1B3","ALEL",2050,0
"Greece","S01D1B3","ELDISFIN",2019,9.45
"Greece","S01D1B3","ELDISFIN",2020,9.55
"Greece","S01D1B3","ELDISFIN",2021,9.65
"Greece","S01D1B3","ELDISFIN",2022,9.8
"Greece","S01D1B3","ELDISFIN",2023,9.9
"Greece","S01D1B3","ELDISFIN",2024,10
"Greece","S01D1B3","ELDISFIN",2025,10.1
"Greece","S01D1B3","ELDISFIN",2026,10.2
"Greece","S01D1B3","ELDISFIN",2027,10.3
"Greece","S01D1B3","ELDISFIN",2028,10.4
"Greece","S01D1B3","ELDISFIN",2029,10.55
"Greece","S01D1B3","ELDISFIN",2030,10.65
