r,t,e,y,AnnualTechnologyEmission
"Greece","BATT","RETarget",2038,0
"Greece","BATT","RETarget",2039,0
"Greece","BATT","RETarget",2040,0
"Greece","BATT","RETarget",2041,0
"Greece","BATT","RETarget",2042,0
"Greece","BATT","RETarget",2043,0
"Greece","BATT","RETarget",2044,0
"Greece","BATT","RETarget",2045,0
"Greece","BATT","RETarget",2046,0
"Greece","BATT","RETarget",2047,0
"Greece","BATT","RETarget",2048,0
"Greece","BATT","RETarget",2049,0
"Greece","BATT","RETarget",2050,0
"Greece","BATT","MAR",2019,0
"Greece","BATT","MAR",2020,0
"Greece","BATT","MAR",2021,0
"Greece","BATT","MAR",2022,0
"Greece","BATT","MAR",2023,0
"Greece","BATT","MAR",2024,0
"Greece","BATT","MAR",2025,0
"Greece","BATT","MAR",2026,0
"Greece","BATT","MAR",2027,0
"Greece","BATT","MAR",2028,0
"Greece","BATT","MAR",2029,0
"Greece","BATT","MAR",2030,0
"Greece","BATT","MAR",2031,0
"Greece","BATT","MAR",2032,0
"Greece","BATT","MAR",2033,0
"Greece","BATT","MAR",2034,0
"Greece","BATT","MAR",2035,0
"Greece","BATT","MAR",2036,0
"Greece","BATT","MAR",2037,0
"Greece","BATT","MAR",2038,0
"Greece","BATT","MAR",2039,0
"Greece","BATT","MAR",2040,0
"Greece","BATT","MAR",2041,0
"Greece","BATT","MAR",2042,0
"Greece","BATT","MAR",2043,0
"Greece","BATT","MAR",2044,0
"Greece","BATT","MAR",2045,0
"Greece","BATT","MAR",2046,0
"Greece","BATT","MAR",2047,0
"Greece","BATT","MAR",2048,0
"Greece","BATT","MAR",2049,0
"Greece","BATT","MAR",2050,0
"Greece","GEOPWR_H","CO2",2019,0
"Greece","GEOPWR_H","CO2",2020,0
"Greece","GEOPWR_H","CO2",2021,0
"Greece","GEOPWR_H","CO2",2022,0
"Greece","GEOPWR_H","CO2",2023,0
"Greece","GEOPWR_H","CO2",2024,0
"Greece","GEOPWR_H","CO2",2025,0
"Greece","GEOPWR_H","CO2",2026,0
"Greece","GEOPWR_H","CO2",2027,0
"Greece","GEOPWR_H","CO2",2028,0
"Greece","GEOPWR_H","CO2",2029,0
"Greece","GEOPWR_H","CO2",2030,0
"Greece","GEOPWR_H","CO2",2031,0
"Greece","GEOPWR_H","CO2",2032,0
"Greece","GEOPWR_H","CO2",2033,0
"Greece","GEOPWR_H","CO2",2034,0
"Greece","GEOPWR_H","CO2",2035,0
"Greece","GEOPWR_H","CO2",2036,0
"Greece","GEOPWR_H","CO2",2037,0
"Greece","GEOPWR_H","CO2",2038,0
"Greece","GEOPWR_H","CO2",2039,0
"Greece","GEOPWR_H","CO2",2040,0
"Greece","GEOPWR_H","CO2",2041,0
"Greece","GEOPWR_H","CO2",2042,0
"Greece","GEOPWR_H","CO2",2043,0
"Greece","GEOPWR_H","CO2",2044,0
"Greece","GEOPWR_H","CO2",2045,0
"Greece","GEOPWR_H","CO2",2046,0
"Greece","GEOPWR_H","CO2",2047,0
"Greece","GEOPWR_H","CO2",2048,0
"Greece","GEOPWR_H","CO2",2049,0
"Greece","GEOPWR_H","CO2",2050,0
"Greece","GEOPWR_H","RETarget",2019,0
"Greece","GEOPWR_H","RETarget",2020,0
"Greece","GEOPWR_H","RETarget",2021,0
"Greece","GEOPWR_H","RETarget",2022,0
"Greece","GEOPWR_H","RETarget",2023,0
"Greece","GEOPWR_H","RETarget",2024,0
"Greece","GEOPWR_H","RETarget",2025,0
"Greece","GEOPWR_H","RETarget",2026,0
"Greece","GEOPWR_H","RETarget",2027,0
"Greece","GEOPWR_H","RETarget",2028,0
"Greece","GEOPWR_H","RETarget",2029,0
"Greece","GEOPWR_H","RETarget",2030,0
"Greece","GEOPWR_H","RETarget",2031,0
"Greece","GEOPWR_H","RETarget",2032,0
"Greece","GEOPWR_H","RETarget",2033,0
"Greece","GEOPWR_H","RETarget",2034,0
"Greece","GEOPWR_H","RETarget",2035,0
"Greece","GEOPWR_H","RETarget",2036,0
"Greece","GEOPWR_H","RETarget",2037,0
"Greece","GEOPWR_H","RETarget",2038,0
"Greece","GEOPWR_H","RETarget",2039,0
"Greece","GEOPWR_H","RETarget",2040,0
"Greece","GEOPWR_H","RETarget",2041,0
"Greece","GEOPWR_H","RETarget",2042,0
"Greece","GEOPWR_H","RETarget",2043,0
"Greece","GEOPWR_H","RETarget",2044,0
"Greece","GEOPWR_H","RETarget",2045,0
"Greece","GEOPWR_H","RETarget",2046,0
"Greece","GEOPWR_H","RETarget",2047,0
"Greece","GEOPWR_H","RETarget",2048,0
"Greece","GEOPWR_H","RETarget",2049,0
"Greece","GEOPWR_H","RETarget",2050,0
"Greece","GEOPWR_H","MAR",2019,0
"Greece","GEOPWR_H","MAR",2020,0
"Greece","GEOPWR_H","MAR",2021,0
"Greece","GEOPWR_H","MAR",2022,0
"Greece","GEOPWR_H","MAR",2023,0
"Greece","GEOPWR_H","MAR",2024,0
"Greece","GEOPWR_H","MAR",2025,0
"Greece","GEOPWR_H","MAR",2026,0
"Greece","GEOPWR_H","MAR",2027,0
"Greece","GEOPWR_H","MAR",2028,0
"Greece","GEOPWR_H","MAR",2029,0
"Greece","GEOPWR_H","MAR",2030,0
"Greece","GEOPWR_H","MAR",2031,0
"Greece","GEOPWR_H","MAR",2032,0
"Greece","GEOPWR_H","MAR",2033,0
"Greece","GEOPWR_H","MAR",2034,0
"Greece","GEOPWR_H","MAR",2035,0
"Greece","GEOPWR_H","MAR",2036,0
"Greece","GEOPWR_H","MAR",2037,0
"Greece","GEOPWR_H","MAR",2038,0
"Greece","GEOPWR_H","MAR",2039,0
"Greece","GEOPWR_H","MAR",2040,0
"Greece","GEOPWR_H","MAR",2041,0
"Greece","GEOPWR_H","MAR",2042,0
"Greece","GEOPWR_H","MAR",2043,0
"Greece","GEOPWR_H","MAR",2044,0
"Greece","GEOPWR_H","MAR",2045,0
"Greece","GEOPWR_H","MAR",2046,0
"Greece","GEOPWR_H","MAR",2047,0
"Greece","GEOPWR_H","MAR",2048,0
"Greece","GEOPWR_H","MAR",2049,0
"Greece","GEOPWR_H","MAR",2050,0
"Greece","GEOPWR_M","CO2",2019,0
"Greece","GEOPWR_M","CO2",2020,0
"Greece","GEOPWR_M","CO2",2021,0
"Greece","GEOPWR_M","CO2",2022,0
"Greece","GEOPWR_M","CO2",2023,0
"Greece","GEOPWR_M","CO2",2024,0
"Greece","GEOPWR_M","CO2",2025,0
"Greece","GEOPWR_M","CO2",2026,0
"Greece","GEOPWR_M","CO2",2027,0
"Greece","GEOPWR_M","CO2",2028,0
"Greece","GEOPWR_M","CO2",2029,0
"Greece","GEOPWR_M","CO2",2030,0
"Greece","GEOPWR_M","CO2",2031,0
"Greece","GEOPWR_M","CO2",2032,0
"Greece","GEOPWR_M","CO2",2033,0
"Greece","GEOPWR_M","CO2",2034,0
"Greece","GEOPWR_M","CO2",2035,0
"Greece","GEOPWR_M","CO2",2036,0
"Greece","GEOPWR_M","CO2",2037,0
"Greece","GEOPWR_M","CO2",2038,0
"Greece","GEOPWR_M","CO2",2039,0
"Greece","GEOPWR_M","CO2",2040,0
"Greece","GEOPWR_M","CO2",2041,0
"Greece","GEOPWR_M","CO2",2042,0
"Greece","GEOPWR_M","CO2",2043,0
"Greece","GEOPWR_M","CO2",2044,0
"Greece","GEOPWR_M","CO2",2045,0
"Greece","GEOPWR_M","CO2",2046,0
"Greece","GEOPWR_M","CO2",2047,0
"Greece","GEOPWR_M","CO2",2048,0
"Greece","GEOPWR_M","CO2",2049,0
"Greece","GEOPWR_M","CO2",2050,0
"Greece","GEOPWR_M","RETarget",2019,0
"Greece","GEOPWR_M","RETarget",2020,0
"Greece","GEOPWR_M","RETarget",2021,0
"Greece","GEOPWR_M","RETarget",2022,0
"Greece","GEOPWR_M","RETarget",2023,0
"Greece","GEOPWR_M","RETarget",2024,0
"Greece","GEOPWR_M","RETarget",2025,0
"Greece","GEOPWR_M","RETarget",2026,0
"Greece","GEOPWR_M","RETarget",2027,0
"Greece","GEOPWR_M","RETarget",2028,0
"Greece","GEOPWR_M","RETarget",2029,0
"Greece","GEOPWR_M","RETarget",2030,0
"Greece","GEOPWR_M","RETarget",2031,0
"Greece","GEOPWR_M","RETarget",2032,0
"Greece","GEOPWR_M","RETarget",2033,0
"Greece","GEOPWR_M","RETarget",2034,0
"Greece","GEOPWR_M","RETarget",2035,0
"Greece","GEOPWR_M","RETarget",2036,0
"Greece","GEOPWR_M","RETarget",2037,0
"Greece","GEOPWR_M","RETarget",2038,0
"Greece","GEOPWR_M","RETarget",2039,0
"Greece","GEOPWR_M","RETarget",2040,0
"Greece","GEOPWR_M","RETarget",2041,0
"Greece","GEOPWR_M","RETarget",2042,0
"Greece","GEOPWR_M","RETarget",2043,0
"Greece","GEOPWR_M","RETarget",2044,0
"Greece","GEOPWR_M","RETarget",2045,0
"Greece","GEOPWR_M","RETarget",2046,0
"Greece","GEOPWR_M","RETarget",2047,0
"Greece","GEOPWR_M","RETarget",2048,0
"Greece","GEOPWR_M","RETarget",2049,0
"Greece","GEOPWR_M","RETarget",2050,0
"Greece","GEOPWR_M","MAR",2019,0
"Greece","GEOPWR_M","MAR",2020,0
"Greece","GEOPWR_M","MAR",2021,0
"Greece","GEOPWR_M","MAR",2022,0
"Greece","GEOPWR_M","MAR",2023,0
"Greece","GEOPWR_M","MAR",2024,0
"Greece","GEOPWR_M","MAR",2025,0
"Greece","GEOPWR_M","MAR",2026,0
"Greece","GEOPWR_M","MAR",2027,0
"Greece","GEOPWR_M","MAR",2028,0
"Greece","GEOPWR_M","MAR",2029,0
"Greece","GEOPWR_M","MAR",2030,0
"Greece","GEOPWR_M","MAR",2031,0
"Greece","GEOPWR_M","MAR",2032,0
"Greece","GEOPWR_M","MAR",2033,0
"Greece","GEOPWR_M","MAR",2034,0
"Greece","GEOPWR_M","MAR",2035,0
"Greece","GEOPWR_M","MAR",2036,0
"Greece","GEOPWR_M","MAR",2037,0
"Greece","GEOPWR_M","MAR",2038,0
"Greece","GEOPWR_M","MAR",2039,0
"Greece","GEOPWR_M","MAR",2040,0
"Greece","GEOPWR_M","MAR",2041,0
"Greece","GEOPWR_M","MAR",2042,0
"Greece","GEOPWR_M","MAR",2043,0
"Greece","GEOPWR_M","MAR",2044,0
"Greece","GEOPWR_M","MAR",2045,0
"Greece","GEOPWR_M","MAR",2046,0
"Greece","GEOPWR_M","MAR",2047,0
"Greece","GEOPWR_M","MAR",2048,0
"Greece","GEOPWR_M","MAR",2049,0
"Greece","GEOPWR_M","MAR",2050,0
"Greece","GRBM00I00","CO2",2019,0
"Greece","GRBM00I00","CO2",2020,0
"Greece","GRBM00I00","CO2",2021,0
"Greece","GRBM00I00","CO2",2022,0
"Greece","GRBM00I00","CO2",2023,0
"Greece","GRBM00I00","CO2",2024,0
"Greece","GRBM00I00","CO2",2025,0
"Greece","GRBM00I00","CO2",2026,0
"Greece","GRBM00I00","CO2",2027,0
"Greece","GRBM00I00","CO2",2028,0
"Greece","GRBM00I00","CO2",2029,0
"Greece","GRBM00I00","CO2",2030,0
"Greece","GRBM00I00","CO2",2031,0
"Greece","GRBM00I00","CO2",2032,0
"Greece","GRBM00I00","CO2",2033,0
"Greece","GRBM00I00","CO2",2034,0
"Greece","GRBM00I00","CO2",2035,0
"Greece","GRBM00I00","CO2",2036,0
"Greece","GRBM00I00","CO2",2037,0
"Greece","GRBM00I00","CO2",2038,0
"Greece","GRBM00I00","CO2",2039,0
"Greece","GRBM00I00","CO2",2040,0
"Greece","GRBM00I00","CO2",2041,0
"Greece","GRBM00I00","CO2",2042,0
"Greece","GRBM00I00","CO2",2043,0
"Greece","GRBM00I00","CO2",2044,0
"Greece","GRBM00I00","CO2",2045,0
"Greece","GRBM00I00","CO2",2046,0
"Greece","GRBM00I00","CO2",2047,0
"Greece","GRBM00I00","CO2",2048,0
"Greece","GRBM00I00","CO2",2049,0
"Greece","GRBM00I00","CO2",2050,0
"Greece","GRBM00I00","RETarget",2019,0
"Greece","GRBM00I00","RETarget",2020,0
"Greece","GRBM00I00","RETarget",2021,0
"Greece","GRBM00I00","RETarget",2022,0
"Greece","GRBM00I00","RETarget",2023,0
"Greece","GRBM00I00","RETarget",2024,0
"Greece","GRBM00I00","RETarget",2025,0
"Greece","GRBM00I00","RETarget",2026,0
"Greece","GRBM00I00","RETarget",2027,0
"Greece","GRBM00I00","RETarget",2028,0
"Greece","GRBM00I00","RETarget",2029,0
"Greece","GRBM00I00","RETarget",2030,0
"Greece","GRBM00I00","RETarget",2031,0
"Greece","GRBM00I00","RETarget",2032,0
"Greece","GRBM00I00","RETarget",2033,0
"Greece","GRBM00I00","RETarget",2034,0
"Greece","GRBM00I00","RETarget",2035,0
"Greece","GRBM00I00","RETarget",2036,0
"Greece","GRBM00I00","RETarget",2037,0
"Greece","GRBM00I00","RETarget",2038,0
"Greece","GRBM00I00","RETarget",2039,0
"Greece","GRBM00I00","RETarget",2040,0
"Greece","GRBM00I00","RETarget",2041,0
"Greece","GRBM00I00","RETarget",2042,0
"Greece","GRBM00I00","RETarget",2043,0
"Greece","GRBM00I00","RETarget",2044,0
"Greece","GRBM00I00","RETarget",2045,0
"Greece","GRBM00I00","RETarget",2046,0
"Greece","GRBM00I00","RETarget",2047,0
"Greece","GRBM00I00","RETarget",2048,0
"Greece","GRBM00I00","RETarget",2049,0
"Greece","GRBM00I00","RETarget",2050,0
"Greece","GRBM00I00","MAR",2019,0
"Greece","GRBM00I00","MAR",2020,0
"Greece","GRBM00I00","MAR",2021,0
"Greece","GRBM00I00","MAR",2022,0
"Greece","GRBM00I00","MAR",2023,0
"Greece","GRBM00I00","MAR",2024,0
"Greece","GRBM00I00","MAR",2025,0
"Greece","GRBM00I00","MAR",2026,0
"Greece","GRBM00I00","MAR",2027,0
"Greece","GRBM00I00","MAR",2028,0
"Greece","GRBM00I00","MAR",2029,0
"Greece","GRBM00I00","MAR",2030,0
"Greece","GRBM00I00","MAR",2031,0
"Greece","GRBM00I00","MAR",2032,0
"Greece","GRBM00I00","MAR",2033,0
"Greece","GRBM00I00","MAR",2034,0
"Greece","GRBM00I00","MAR",2035,0
"Greece","GRBM00I00","MAR",2036,0
"Greece","GRBM00I00","MAR",2037,0
"Greece","GRBM00I00","MAR",2038,0
"Greece","GRBM00I00","MAR",2039,0
"Greece","GRBM00I00","MAR",2040,0
"Greece","GRBM00I00","MAR",2041,0
"Greece","GRBM00I00","MAR",2042,0
"Greece","GRBM00I00","MAR",2043,0
"Greece","GRBM00I00","MAR",2044,0
"Greece","GRBM00I00","MAR",2045,0
"Greece","GRBM00I00","MAR",2046,0
"Greece","GRBM00I00","MAR",2047,0
